Company,TypeName,Ram,OpSys,Weight,Price_euros,Screen,IPS Screen,Screen PPI,Cpu_brand,HDD,SSD,Gpu brand,os
Apple,Ultrabook,8,macOS,1.37,1339.69,NormalScreen,Yes,226.9830047,Intel Core i5,0,128,Intel,Mac
Apple,Ultrabook,8,macOS,1.34,898.94,NormalScreen,No,127.6779401,Intel Core i5,0,0,Intel,Mac
HP,Notebook,8,No OS,1.86,575,NormalScreen,No,141.2119981,Intel Core i5,0,256,Intel,Others/No OS/Linux
Apple,Ultrabook,16,macOS,1.83,2537.45,NormalScreen,Yes,220.5346239,Intel Core i7,0,512,AMD,Mac
Apple,Ultrabook,8,macOS,1.37,1803.6,NormalScreen,Yes,226.9830047,Intel Core i5,0,256,Intel,Mac
Acer,Notebook,4,Windows 10,2.1,400,NormalScreen,No,100.4546699,AMD Processor,500,0,AMD,Windows
Apple,Ultrabook,16,Mac OS X,2.04,2139.97,NormalScreen,Yes,220.5346239,Intel Core i7,0,0,Intel,Mac
Apple,Ultrabook,8,macOS,1.34,1158.7,NormalScreen,No,127.6779401,Intel Core i5,0,0,Intel,Mac
Asus,Ultrabook,16,Windows 10,1.3,1495,NormalScreen,No,157.3505121,Intel Core i7,0,512,Nvidia,Windows
Acer,Ultrabook,8,Windows 10,1.6,770,NormalScreen,Yes,157.3505121,Intel Core i5,0,256,Intel,Windows
HP,Notebook,4,No OS,1.86,393.9,NormalScreen,No,100.4546699,Intel Core i5,500,0,Intel,Others/No OS/Linux
HP,Notebook,4,No OS,1.86,344.99,NormalScreen,No,141.2119981,Intel Core i3,500,0,Intel,Others/No OS/Linux
Apple,Ultrabook,16,macOS,1.83,2439.97,NormalScreen,Yes,220.5346239,Intel Core i7,0,256,AMD,Mac
Dell,Notebook,4,Windows 10,2.2,498.9,NormalScreen,No,141.2119981,Intel Core i3,0,256,AMD,Windows
Apple,Ultrabook,8,macOS,0.92,1262.4,NormalScreen,Yes,226.4155472,Other Intel Processor,0,256,Intel,Mac
Apple,Ultrabook,8,macOS,1.37,1518.55,NormalScreen,Yes,226.9830047,Intel Core i5,0,256,Intel,Mac
Dell,Notebook,8,Windows 10,2.2,745,NormalScreen,No,141.2119981,Intel Core i7,0,256,AMD,Windows
Apple,Ultrabook,16,macOS,1.83,2858,NormalScreen,Yes,220.5346239,Intel Core i7,0,512,AMD,Mac
Lenovo,Notebook,8,No OS,2.2,499,NormalScreen,No,141.2119981,Intel Core i3,1000,0,Nvidia,Others/No OS/Linux
Dell,Ultrabook,8,Windows 10,1.22,979,TouchScreen,Yes,165.6321181,Intel Core i5,0,128,Intel,Windows
Asus,Netbook,2,Windows 10,0.98,191.9,NormalScreen,No,135.0942112,Other Intel Processor,0,0,Intel,Windows
Lenovo,Gaming,8,Windows 10,2.5,999,NormalScreen,Yes,141.2119981,Intel Core i5,1000,128,Nvidia,Windows
HP,Notebook,4,No OS,1.86,258,NormalScreen,No,100.4546699,AMD Processor,500,0,AMD,Others/No OS/Linux
Dell,2 in 1 Convertible,8,Windows 10,1.62,819,TouchScreen,No,165.6321181,Intel Core i5,0,256,Intel,Windows
HP,Ultrabook,8,Windows 10,1.91,659,NormalScreen,No,141.2119981,Intel Core i7,0,256,Intel,Windows
Dell,Notebook,4,Windows 10,2.3,418.64,NormalScreen,No,100.4546699,Intel Core i3,1000,0,Intel,Windows
Apple,Ultrabook,8,Mac OS X,1.35,1099,NormalScreen,No,127.6779401,Intel Core i5,0,0,Intel,Mac
Dell,Notebook,8,Windows 10,2.2,800,NormalScreen,No,141.2119981,Intel Core i5,0,256,AMD,Windows
Dell,Ultrabook,8,Windows 10,1.88,1298,NormalScreen,No,141.2119981,Intel Core i7,0,512,Intel,Windows
HP,Notebook,8,Windows 10,2.5,896,NormalScreen,No,127.3356746,Intel Core i5,1000,0,Nvidia,Windows
Chuwi,Notebook,4,Windows 10,1.89,244.99,NormalScreen,No,141.2119981,Other Intel Processor,0,0,Intel,Windows
Asus,Notebook,2,Windows 10,1.65,199,NormalScreen,No,111.9352036,AMD Processor,0,0,AMD,Windows
HP,Notebook,4,Windows 10,2.71,439,NormalScreen,No,127.3356746,AMD Processor,500,0,AMD,Windows
Dell,Ultrabook,16,Windows 10,1.2,1869,TouchScreen,No,276.0535301,Intel Core i7,0,512,Intel,Windows
Apple,Ultrabook,8,Mac OS X,1.35,998,NormalScreen,No,127.6779401,Intel Core i5,0,0,Intel,Mac
Lenovo,Notebook,4,Windows 10,1.44,249,NormalScreen,No,111.9352036,Other Intel Processor,0,0,Intel,Windows
Acer,Notebook,4,Linux,2.1,367,NormalScreen,No,100.4546699,Intel Core i3,1000,0,Intel,Others/No OS/Linux
Dell,Notebook,8,Windows 10,2.8,979,NormalScreen,Yes,127.3356746,Intel Core i5,1000,128,AMD,Windows
HP,Notebook,4,Windows 10,1.86,488.69,NormalScreen,No,100.4546699,Intel Core i5,1000,0,Intel,Windows
HP,Notebook,8,Windows 10,2.1,879,NormalScreen,No,141.2119981,Intel Core i5,0,256,Nvidia,Windows
Asus,Notebook,4,Linux,2,389,NormalScreen,No,141.2119981,Intel Core i3,1000,0,Intel,Others/No OS/Linux
Dell,Gaming,16,Windows 10,2.65,1499,NormalScreen,Yes,141.2119981,Intel Core i7,1000,256,Nvidia,Windows
Asus,Notebook,8,Linux,2.3,522.99,NormalScreen,No,100.4546699,Intel Core i5,1000,0,Nvidia,Others/No OS/Linux
Acer,Notebook,4,Windows 10,2.2,682,NormalScreen,Yes,141.2119981,Intel Core i5,0,256,Intel,Windows
Dell,2 in 1 Convertible,12,Windows 10,2.77,999,TouchScreen,No,127.3356746,Intel Core i5,1000,0,Nvidia,Windows
Apple,Ultrabook,8,macOS,1.37,1419,NormalScreen,Yes,226.9830047,Intel Core i5,0,256,Intel,Mac
Lenovo,Notebook,4,No OS,2.2,369,NormalScreen,No,100.4546699,Intel Core i3,0,128,Intel,Others/No OS/Linux
Asus,Gaming,8,Windows 10,3.2,1299,NormalScreen,No,127.3356746,AMD Processor,1000,256,AMD,Windows
Dell,Notebook,4,Windows 10,2.3,639,NormalScreen,No,141.2119981,Intel Core i5,0,256,AMD,Windows
Asus,Notebook,4,Windows 10,2.8,466,NormalScreen,No,90.58340172,Other Intel Processor,1000,0,Nvidia,Windows
Lenovo,2 in 1 Convertible,4,Android,0.69,319,TouchScreen,Yes,224.1738091,Other Intel Processor,0,0,Intel,Others/No OS/Linux
Acer,Notebook,8,Windows 10,2.2,841,NormalScreen,Yes,141.2119981,Intel Core i7,0,256,Nvidia,Windows
HP,Notebook,4,Windows 10,1.86,398.49,NormalScreen,No,141.2119981,AMD Processor,0,256,AMD,Windows
HP,Notebook,8,Windows 10,1.49,1103,NormalScreen,No,165.6321181,Intel Core i7,0,512,Intel,Windows
Acer,Notebook,4,Windows 10,2.4,384,NormalScreen,No,100.4546699,Intel Core i3,1000,0,Intel,Windows
Dell,Notebook,8,Windows 10,2.13,767.8,NormalScreen,No,141.2119981,Intel Core i7,0,256,AMD,Windows
HP,Notebook,4,Windows 10,1.91,439,NormalScreen,No,141.2119981,Intel Core i3,0,128,Intel,Windows
Asus,Notebook,4,Windows 10,2,586.19,NormalScreen,No,100.4546699,Intel Core i5,0,256,Intel,Windows
MSI,Gaming,16,Windows 10,2.43,2449,NormalScreen,No,127.3356746,Intel Core i7,2000,256,Nvidia,Windows
Asus,Notebook,4,Linux,2,415,NormalScreen,No,141.2119981,Intel Core i3,0,256,Intel,Others/No OS/Linux
Dell,Notebook,16,Windows 10,2.8,1299,NormalScreen,No,127.3356746,Intel Core i7,2000,256,AMD,Windows
Dell,Ultrabook,8,Windows 10,1.7,879,NormalScreen,No,157.3505121,Intel Core i5,0,256,Intel,Windows
Lenovo,Notebook,8,No OS,1.7,599,NormalScreen,Yes,157.3505121,Intel Core i3,0,256,Intel,Others/No OS/Linux
Asus,Notebook,8,Windows 10,1.4,941,NormalScreen,No,157.3505121,Intel Core i5,0,256,Intel,Windows
HP,Notebook,8,Windows 10,1.86,690,NormalScreen,No,141.2119981,Intel Core i5,0,256,Intel,Windows
Asus,Ultrabook,16,Windows 10,1.8,1983,NormalScreen,No,141.2119981,Intel Core i7,0,512,Nvidia,Windows
HP,Notebook,4,Windows 10,1.86,438.69,NormalScreen,No,100.4546699,Intel Core i3,500,0,AMD,Windows
HP,Notebook,4,Windows 10,1.44,229,NormalScreen,No,111.9352036,Other Intel Processor,0,32,Intel,Windows
Lenovo,Notebook,4,Windows 10,1.9,549,NormalScreen,No,141.2119981,Intel Core i5,1000,0,Intel,Windows
Asus,Gaming,12,Linux,3,949,NormalScreen,No,127.3356746,Intel Core i7,1000,0,Nvidia,Others/No OS/Linux
Microsoft,Ultrabook,4,Windows 10 S,1.252,1089,TouchScreen,No,200.8425599,Intel Core i5,0,128,Intel,Windows
Dell,Ultrabook,8,Windows 10,1.4,955,NormalScreen,Yes,165.6321181,Intel Core i7,0,256,AMD,Windows
Dell,Notebook,8,Windows 10,2.2,870,NormalScreen,No,141.2119981,Intel Core i7,0,256,AMD,Windows
MSI,Gaming,8,Windows 10,2.7,1095,NormalScreen,No,127.3356746,Intel Core i5,1000,128,Nvidia,Windows
Acer,Notebook,8,Windows 10,2.1,389,NormalScreen,No,111.9352036,Intel Core i3,1000,0,Intel,Windows
Asus,Gaming,8,Windows 10,2.2,949,NormalScreen,No,141.2119981,Intel Core i7,1000,0,Nvidia,Windows
Lenovo,Notebook,8,No OS,2.2,519,NormalScreen,No,141.2119981,Intel Core i5,2000,0,Intel,Others/No OS/Linux
Dell,Notebook,8,Windows 10,2.02,855,NormalScreen,No,141.2119981,Intel Core i7,1000,128,Intel,Windows
Acer,Notebook,4,Windows 10,2.2,530,NormalScreen,No,141.2119981,Intel Core i3,1000,0,Nvidia,Windows
HP,Notebook,8,Windows 10,2.5,977,NormalScreen,No,127.3356746,Intel Core i5,1000,128,Nvidia,Windows
Dell,Ultrabook,8,Windows 10,1.88,1096.16,NormalScreen,Yes,141.2119981,Intel Core i5,0,256,Intel,Windows
Apple,Ultrabook,8,macOS,0.92,1510,NormalScreen,Yes,226.4155472,Intel Core i5,0,512,Intel,Mac
HP,Notebook,8,Windows 10,1.63,860,NormalScreen,No,157.3505121,Intel Core i5,0,256,Intel,Windows
Lenovo,Notebook,4,Windows 10,2.2,399,NormalScreen,No,141.2119981,AMD Processor,0,128,AMD,Windows
Acer,Notebook,4,Windows 10,2.1,395,NormalScreen,No,100.4546699,AMD Processor,1000,0,AMD,Windows
Dell,Gaming,16,Windows 10,2.65,1349,NormalScreen,Yes,141.2119981,Intel Core i7,1000,128,Nvidia,Windows
HP,Ultrabook,8,Windows 10,1.83,699,NormalScreen,Yes,141.2119981,Intel Core i7,0,256,Nvidia,Windows
HP,Notebook,8,Windows 10,1.96,598.99,NormalScreen,No,141.2119981,Intel Core i5,0,256,Intel,Windows
Asus,Gaming,16,Windows 10,2.2,1449,NormalScreen,Yes,141.2119981,Intel Core i7,1000,128,Nvidia,Windows
Dell,Ultrabook,8,Windows 10,1.21,1649,NormalScreen,Yes,165.6321181,Intel Core i7,0,256,Intel,Windows
Asus,Gaming,8,Windows 10,2.45,699,NormalScreen,No,141.2119981,AMD Processor,1000,0,AMD,Windows
Acer,Notebook,8,Windows 10,2.2,689,NormalScreen,No,141.2119981,Intel Core i7,1000,0,Nvidia,Windows
HP,Notebook,16,Windows 10,1.49,1197,NormalScreen,No,165.6321181,Intel Core i7,0,512,Intel,Windows
Dell,Gaming,8,Windows 10,2.65,1195,NormalScreen,No,141.2119981,Intel Core i5,0,256,Nvidia,Windows
Asus,Ultrabook,8,Windows 10,1.25,1049,NormalScreen,No,157.3505121,Intel Core i7,0,256,Intel,Windows
Acer,2 in 1 Convertible,8,Windows 10,1.5,847,TouchScreen,Yes,165.6321181,Intel Core i5,0,256,Intel,Windows
Dell,Notebook,8,Linux,2.2,599.9,NormalScreen,No,141.2119981,Intel Core i7,1000,0,AMD,Others/No OS/Linux
Dell,Notebook,4,Linux,2.2,485,NormalScreen,No,141.2119981,Intel Core i3,0,256,AMD,Others/No OS/Linux
Asus,Notebook,6,Windows 10,2,577,NormalScreen,No,141.2119981,Intel Core i3,0,256,Nvidia,Windows
HP,Gaming,12,Windows 10,2.62,1249,NormalScreen,Yes,141.2119981,Intel Core i7,1000,128,Nvidia,Windows
HP,Notebook,8,Windows 10,1.91,719,NormalScreen,No,141.2119981,Intel Core i7,0,256,AMD,Windows
HP,Notebook,4,Windows 10,2.1,349,NormalScreen,No,141.2119981,AMD Processor,500,0,AMD,Windows
Dell,Notebook,8,Linux,2.2,647,NormalScreen,No,141.2119981,Intel Core i5,1000,0,AMD,Others/No OS/Linux
HP,Ultrabook,8,Windows 10,1.38,1119,NormalScreen,Yes,165.6321181,Intel Core i7,0,256,Nvidia,Windows
Microsoft,Ultrabook,8,Windows 10 S,1.252,1340,TouchScreen,No,200.8425599,Intel Core i5,0,256,Intel,Windows
HP,Notebook,6,Windows 10,1.58,659,NormalScreen,Yes,157.3505121,Intel Core i5,0,256,Nvidia,Windows
Lenovo,Notebook,4,Windows 10,1.85,414.9,NormalScreen,No,141.2119981,Intel Core i3,1000,0,Intel,Windows
